
,Dataset,Data Characteristics,,,,,CtxPipe (Our space) ,Diffprep (Feature-Wise Pipeline + Diffprep space) ,Ours(DiffPrep Space),Ours (our search space),Ours (our search space + ordering)
,,#Ex.,#Feat.,#Classes,#Missing Values,#Outlier cells,,,,,
,248,100000,25,7,0,66907,0.7605,0.7732,"{'numeric_imputation': 'DT', 'categorical_imputation': 'dummy', 'scaling': 'standard', 'outlier_cleaning': 'zscore-2', 'discretization': 'uniform-20'}: 0.7653",0.7751,"{imputation=constant, scaling=standard, encoding=onehot, feature_selection=variance_threshold, outlier_removal=none, dimensionality_reduction=pca, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}: 0.647"
,1066,145,94,2,0,836,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler']         0.7586",0.6897,"{'numeric_imputation': 'median', 'categorical_imputation': 'none', 'scaling': 'standard', 'outlier_cleaning': 'iqr-2', 'discretization': 'uniform-20'}: 0.7931
","{'imputation': 'mean', 'scaling': 'none', 'encoding': 'onehot', 'feature_selection': 'variance_threshold', 'outlier_removal': 'none', 'dimensionality_reduction': 'none'} : 0.7586","{imputation=none, scaling=none, encoding=onehot, feature_selection=none, outlier_removal=none, dimensionality_reduction=none, step_order=['imputation', 'outlier_removal', 'scaling', 'encoding', 'dimensionality_reduction', 'feature_selection']}: 0.7241"
,1164,185,10935,2,0,99654,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler'] 0.7297",0.6757,"{'numeric_imputation': 'median', 'categorical_imputation': 'none', 'scaling': 'maxabs', 'outlier_cleaning': 'zscore-3', 'discretization': 'none'}: 0.7297","imputation': 'knn', 'scaling': 'maxabs', 'encoding': 'onehot', 'feature_selection': 'k_best', 'outlier_removal': 'none', 'dimensionality_reduction': 'none': 0.7838","{imputation=constant, scaling=standard, encoding=onehot, feature_selection=variance_threshold, outlier_removal=none, dimensionality_reduction=pca, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}: 0.7027"
,1047,191,16,4,0,31,"['ImputerKNN', 'ImputerCatMode', 'OneHotEncoder', 'blank', 'RobustScaler', 'blank']         0.8684",0.9474,"{'numeric_imputation': 'mean', 'categorical_imputation': 'dummy', 'scaling': 'none', 'outlier_cleaning': 'none', 'discretization': 'uniform-20'}: 0.8421","imputation': 'knn', 'scaling': 'standard', 'encoding': 'onehot', 'feature_selection': 'variance_threshold', 'outlier_removal': 'zscore', 'dimensionality_reduction': 'pca': 0.8947","{imputation=most_frequent, scaling=minmax, encoding=onehot, feature_selection=mutual_info, outlier_removal=lof, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'dimensionality_reduction', 'feature_selection']} : 0.8421"
,862,87,10,2,0,14,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler']	 0.7059",0.7647,"{'numeric_imputation': 'mean', 'categorical_imputation': 'dummy', 'scaling': 'standard', 'outlier_cleaning': 'iqr-2', 'discretization': 'none'}: 0.8235","imputation': 'constant', 'scaling': 'minmax', 'encoding': 'onehot', 'feature_selection': 'k_best', 'outlier_removal': 'lof', 'dimensionality_reduction': 'pca': 0.8235"," {imputation=mean, scaling=minmax, encoding=onehot, feature_selection=mutual_info, outlier_removal=zscore, dimensionality_reduction=svd, step_order=['imputation', 'encoding', 'outlier_removal', 'feature_selection', 'scaling', 'dimensionality_reduction']} : 0.6471"
,2,898,38,5,0,605,"['ImputerMedian', 'ImputerCatMode', 'blank', 'blank', 'blank', 'blank'] 0.8715",0.9162,"{'numeric_imputation': 'mean', 'categorical_imputation': 'most_frequent', 'scaling': 'none', 'outlier_cleaning': 'none', 'discretization': 'uniform-20'} 0.9832","imputation': 'most_frequent', 'scaling': 'robust', 'encoding': 'onehot', 'feature_selection': 'k_best', 'outlier_removal': 'zscore', 'dimensionality_reduction': 'none' 0.9832","{imputation=constant, scaling=none, encoding=onehot, feature_selection=mutual_info, outlier_removal=zscore, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'outlier_removal', 'encoding', 'dimensionality_reduction', 'feature_selection']} : 0.9441"
,40663,399,32,5,0,324,"['blank', 'blank', 'blank', 'blank', 'RobustScaler', 'blank']	 0.6329",0.5063,"{'numeric_imputation': 'most_frequent', 'categorical_imputation': 'dummy', 'scaling': 'standard', 'outlier_cleaning': 'none', 'discretization': 'uniform-20'} 0.6709","imputation': 'constant', 'scaling': 'minmax', 'encoding': 'onehot', 'feature_selection': 'k_best', 'outlier_removal': 'lof', 'dimensionality_reduction': 'svd' 0.6709","{imputation=constant, scaling=maxabs, encoding=onehot, feature_selection=k_best, outlier_removal=none, dimensionality_reduction=none, step_order=['imputation', 'outlier_removal', 'encoding', 'scaling', 'feature_selection', 'dimensionality_reduction']}: 0.6456"
,1054,161,39,2,0,583,"['blank', 'blank', 'blank', 'blank', 'blank', 'RobustScaler']	 0.75",0.6875,"{'numeric_imputation': 'median', 'categorical_imputation': 'dummy', 'scaling': 'maxabs', 'outlier_cleaning': 'none', 'discretization': 'uniform-20'} 0.8438","imputation': 'constant', 'scaling': 'robust', 'encoding': 'onehot', 'feature_selection': 'k_best', 'outlier_removal': 'zscore', 'dimensionality_reduction': 'none' 0.75","{imputation=median, scaling=standard, encoding=onehot, feature_selection=k_best, outlier_removal=zscore, dimensionality_reduction=none, step_order=['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction']}: 0.75"
,1387,100000,69,24,0,0,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank']         0.8665",0.8633,"{'numeric_imputation': 'median', 'categorical_imputation': 'dummy', 'scaling': 'minmax', 'outlier_cleaning': 'none', 'discretization': 'uniform-20'} 0.8691","imputation': 'most_frequent', 'scaling': 'maxabs', 'encoding': 'onehot', 'feature_selection': 'none', 'outlier_removal': 'iqr', 'dimensionality_reduction': 'svd' 0.8687","{'imputation': 'median', 'scaling': 'maxabs', 'encoding': 'onehot', 'outlier_removal': 'zscore', 'feature_selection': 'none', 'dimensionality_reduction': 'none', 'step_order': ['imputation', 'scaling', 'encoding', 'outlier_removal', 'feature_selection', 'dimensionality_reduction'] : 0.797"
