Dataset,Data Characteristics,,,,,TEST ACCURACY,,,,,
,#Ex.,#Feat.,#Classes,#MVs,#Out.,BASELINE (AUTOGLUON ONLY),CTXpipe (CTXpipe space),CTXpipe (Our space),DiffFix (DiffPrep space),FULL AUTOGLUON,"Ours(our search
space)"
,,,,,,,,,,,
BNG(autos)(248),100000,25,7,0,2.68%,0.559,0.5409,0.7605,0.7732,0.7773,0.7751
1066,145,94,2,0,836,0.7241,0.7241,0.7586,0.6897,0.6897,0.7586
1164,185,10935,2,0,99654,0.7297,0.6486,0.7297,0.6757,0.7297,0.7838
1047,191,16,4,0,31,0.8421,0.7895,0.8684,0.8684,0.7895,0.8950
862,87,10,2,0,14,0.7647,0.8235,0.7059,0.7647,0.7647,0.8235
2,898,38,5,0,605,0.8994,0.8045,0.8715,0.9162,0.9609,0.9830
40663,399,32,5,0,324,0.6329,0.6456,0.6329,0.5063,0.6582,0.6709
1054,161,39,2,0,583,0.7812,0.7188,0.75,0.6875,0.8438,0.75
1387,100000,69,24,0,0,0,0.7652,0.8665,0.8633,0.8665,0.8687
876,100,50,2,0,0,0.55,0.35,0.40,0.70,0.45,0.70
18,2000,6,10,0,5,0.7525,0.79,0.8150,0.7675,0.755,0.795
1520,164,90,5,0,2033,0.6562,0.63,0.625,0.5625,0.656,0.7812
1548,2500,100,3,0,1184,0.516,0.51,0.528,0.614,0.642,0.596
184,28056,6,18,0,0,0,,0.8009,0.7972,0.8327,0.8829
378,8844,60,7,0,0,0,,0.7862,0.8303,0.815,0.7387
381,381,381,381,381,381,0,,0.7869,0.7942,0.8083,0.809
382,7019,60,8,0,0,0,,0.4255,0.4982,0.4868,0.4875
993,7019,60,2,0,3671,0.8852,,0.8767,0.9764,0.9743,0.9729
1485,2600,500,2,0,13571,0,0.5404,0.825,0.8423,0.875,0.8712
14,2000,76,10,0,1522,0.845,0.78,0.865,0.8275,0.855,0.885
Average,,,,,,0.5069,0.6705,0.7339,0.7478,0.7615,0.7914
