ID,ObjType,Effort,FunctPercent,IntComplx,DataFile,DataEn,DataOut,UFP,Lang,Tools,ToolExpr,AppExpr,TeamSize,DBMS,Method,label
101,FT,2.5,"0.00,0.80,0.10,0.10,0.00,0.00,0.00",5.0,18.0,94.0,NULL,NULL,sql,mySQLweb,"[2,60]",4.0,[1],mysql,NULL,5
102,FT,2.5,"0.00,0.70,0.00,0.10,0.10,0.10,0.00",5.0,9.0,240.0,NULL,NULL,sql,mySQLweb,"[2,60]",4.0,[1],mysql,NULL,5
114,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",4.0,[1],mysql,"SA,SD",5
115,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",4.0,[1],mysql,"SA,SD",5
116,FT,3.5,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
117,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",1.0,7.0,90.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,60]",4.0,[1],mysql,"SA,SD",5
118,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,90.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
119,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,90.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",5
120,FT,16.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",5.0,12.0,314.0,0.0,0.0,"php,_sql",notepad,"[2,_60]",5.0,[1],mysql,None,5
202,FT,1.0,"0.20,_0.16,_0.04,_0.54,_0.00,_0.03,_0.03",2.0,2.0,1.0,1.0,2.0,"Html,_JavaScript",Vim,"[5,10]",2.0,"[1,2]",NULL,SA,3
204,FT,2.0,"0.11,_0.34,_0.25,_0.15,_0.00,_0.02,_0.08",1.0,2.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[2,3]",Oracle,3_Tier_Architecture,5
206,FT,1.0,"0.11,_0.34,_0.25,_0.15,_0.00,_0.02,_0.08",1.0,2.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[2,3]",Oracle,3_Tier_Architecture,5
208,FT,5.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",4.0,2.0,3.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[1,2]",Oracle,3_Tier_Architecture,5
210,FT,2.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
211,FT,2.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
212,FT,3.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,5
214,FT,7.0,"0.15,_0.30,_0.07,_0.38,_0.00,_0.06,_0.04",2.0,5.0,2.0,2.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,5
218,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
219,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
220,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,4.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
222,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
223,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
224,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
225,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,4.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,5
230,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,5
231,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
232,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
234,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
235,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
236,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
237,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
239,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
241,FT,1.0,"0.50,_0.29,_0.11,_0.10,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
242,FT,1.0,"0.45,_0.29,_0.13,_0.12,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
243,FT,1.0,"0.43,_0.31,_0.13,_0.12,_0.00,_0.00,_0.00",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
245,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
246,FT,1.0,"0.50,_0.29,_0.11,_0.10,_0.00,_0.00,_0.00",1.0,2.0,3.0,1.0,3.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
247,FT,1.0,"0.45,_0.29,_0.13,_0.12,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,3.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
248,FT,1.0,"0.10,_0.32,_0.23,_0.21,_0.00,_0.00,_0.14",5.0,3.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
250,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
251,FT,1.0,"0.50,_0.29,_0.11,_0.10,_0.00,_0.00,_0.00",1.0,2.0,3.0,1.0,3.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
252,FT,1.0,"0.45,_0.29,_0.13,_0.12,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,3.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,5
