IDENTIF,RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,label
E48,M,2,1841.769164,HIGHWAY,1791.893463,2,N,THROUGH,WOOD,MEDIUM,S,5
E26,A,46,1879.851171,WALK,2205.581908,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E22,A,32,1885.786631,HIGHWAY,1038.26138,2,G,THROUGH,STEEL,LONG,S,3
E26,A,16,1915.372808,HIGHWAY,945.597169,6,G,THROUGH,STEEL,LONG,F,0
E99,A,28,1895.508953,HIGHWAY,1065.025727,2,G,THROUGH,STEEL,LONG,F,3
E68,M,1,1891.531046,HIGHWAY,1618.097651,2,G,THROUGH,STEEL,MEDIUM,F,3
E38,O,39.7,1959.545154,HIGHWAY,1173.599745,4,G,THROUGH,STEEL,LONG,F,2
E61,M,41,1850.109765,HIGHWAY,3509.694226,2,N,THROUGH,IRON,MEDIUM,S,5
E32,A,42,1953.382917,RR,1035.317209,6,G,THROUGH,STEEL,LONG,F,0
E26,O,26,1931.42715,HIGHWAY,1126.47863,1,N,THROUGH,STEEL,MEDIUM,S-F,0
E52,A,19,1905.592521,HIGHWAY,910.271282,2,G,THROUGH,STEEL,SHORT,S,1
E99,A,38,1946.765814,HIGHWAY,3229.646272,4,G,DECK,STEEL,MEDIUM,S-F,2
E7,M,25,1921.828264,HIGHWAY,819.471166,4,N,DECK,IRON,LONG,F,1
E38,O,51,1888.63691,HIGHWAY,905.475038,2,G,THROUGH,STEEL,LONG,F,3
E63,O,46,1920.928293,HIGHWAY,1988.764882,4,G,THROUGH,STEEL,LONG,F,1
E92,A,34,1914.316755,HIGHWAY,808.699426,6,G,THROUGH,STEEL,MEDIUM,F,0
E42,A,10,1928.349262,HIGHWAY,1053.572215,2,G,THROUGH,STEEL,MEDIUM,S-F,4
E68,A,29,1883.518155,AQUEDUCT,1927.644607,2,N,THROUGH,WOOD,MEDIUM,S,5
E107N,A,32,1949.257732,HIGHWAY,3131.676666,2,G,THROUGH,IRON,SHORT,S-F,1
E19,A,5,1845.894074,HIGHWAY,1687.839964,2,G,THROUGH,WOOD,MEDIUM,F,5
E46,M,36,1887.512734,HIGHWAY,1309.015287,4,N,THROUGH,IRON,MEDIUM,F,4
E62,Y,6,1904.196622,HIGHWAY,840.688257,2,G,THROUGH,STEEL,LONG,F,3
E48,M,51,1971.123287,WALK,925.907312,2,G,THROUGH,STEEL,MEDIUM,S-F,1
E70,A,46,1901.136836,HIGHWAY,2198.231449,4,G,THROUGH,STEEL,LONG,F,1
E95,A,7,1833.469267,AQUEDUCT,2767.620436,2,N,THROUGH,WOOD,SHORT,S-F,5
E25,M,12,1929.652706,HIGHWAY,3281.210568,2,G,DECK,STEEL,LONG,F,2
E37,M,18,1883.946148,HIGHWAY,3223.858996,4,G,DECK,STEEL,LONG,F,2
E80,O,25,1903.38511,HIGHWAY,1738.763061,4,N,THROUGH,STEEL,LONG,S-F,1
E84,A,1,1903.096714,RR,1915.016093,2,G,THROUGH,STEEL,MEDIUM,F,3
E56,A,27,1902.667025,RR,1900.498587,2,G,THROUGH,STEEL,MEDIUM,F,3
E16,O,25,1821.796296,HIGHWAY,1751.441716,4,N,THROUGH,IRON,MEDIUM,S-F,4
E19,O,31,1931.922115,HIGHWAY,2215.980318,6,G,THROUGH,STEEL,MEDIUM,S,0
E2,A,33,1855.700416,HIGHWAY,1021.672819,1,N,THROUGH,WOOD,MEDIUM,S-F,5
E65,A,23,1920.076193,HIGHWAY,905.979469,4,G,THROUGH,STEEL,MEDIUM,S-F,4
E96,M,17,1908.394658,HIGHWAY,1408.113033,4,G,THROUGH,STEEL,MEDIUM,F,3
E107,M,39.7,1846.980652,RR,1630.157323,2,N,THROUGH,IRON,MEDIUM,S,3
E12,M,19,1933.927432,RR,966.153355,2,G,THROUGH,STEEL,LONG,F,3
E102,A,27,1894.254726,RR,2929.383607,4,N,DECK,STEEL,SHORT,S,2
E71,O,44,1933.032086,HIGHWAY,1243.860507,6,G,THROUGH,STEEL,MEDIUM,F,0
E43,M,2,1959.872631,HIGHWAY,3018.789948,4,G,THROUGH,STEEL,LONG,F,1
E41,M,52,1912.595514,RR,1008.306444,2,G,THROUGH,STEEL,MEDIUM,F,3
E31,Y,15,1869.203828,RR,930.505678,2,G,THROUGH,STEEL,MEDIUM,F,3
E89,A,39,1887.264284,HIGHWAY,946.775016,4,G,THROUGH,WOOD,SHORT,S,5
E75,A,39,1853.410449,HIGHWAY,967.345251,2,N,THROUGH,WOOD,MEDIUM,S,5
E89,M,7,1961.573364,WALK,911.601153,6,G,THROUGH,STEEL,MEDIUM,F,0
E90,M,16,1910.351656,HIGHWAY,1454.048885,2,G,THROUGH,STEEL,MEDIUM,F,3
E61,A,2,1846.712316,HIGHWAY,997.833087,2,N,THROUGH,STEEL,MEDIUM,F,3
E73,M,40,1896.609217,HIGHWAY,1068.355323,1,N,THROUGH,WOOD,MEDIUM,F,0
E39,M,34,1921.987164,HIGHWAY,1078.422856,4,N,DECK,STEEL,LONG,F,2
E78,A,15,1890.328156,RR,1435.055939,2,G,THROUGH,STEEL,MEDIUM,S-F,3
E48,M,16,1961.36658,HIGHWAY,1985.407635,2,G,THROUGH,STEEL,MEDIUM,F,3
E90,M,29,1841.305816,HIGHWAY,1362.187196,2,N,THROUGH,IRON,SHORT,S,4
E21,A,25,1854.012866,HIGHWAY,1059.625448,2,N,DECK,IRON,MEDIUM,S-F,4
E28,M,5,1927.311574,HIGHWAY,1008.919406,4,G,DECK,STEEL,SHORT,S,1
E14,A,37,1924.677766,RR,2101.43445,4,G,THROUGH,STEEL,LONG,F,2
E65,M,25,1930.28952,RR,2610.365431,2,G,DECK,STEEL,LONG,F,3
E7,A,33,1843.144056,AQUEDUCT,1724.795009,2,G,THROUGH,WOOD,MEDIUM,S,5
E73,O,26,1924.93379,RR,2127.66834,2,G,THROUGH,STEEL,MEDIUM,F,3
E77,A,49,1963.185295,HIGHWAY,967.992382,4,N,DECK,STEEL,LONG,F,2
E35,A,30,1885.901029,HIGHWAY,2017.997069,2,G,THROUGH,STEEL,MEDIUM,F,3
E92,A,30,1888.800227,HIGHWAY,1567.21892,2,G,THROUGH,STEEL,MEDIUM,F,3
E77,A,28,1963.995288,RR,2479.875842,2,G,THROUGH,STEEL,MEDIUM,F,3
E44,A,11,1857.814065,HIGHWAY,1223.855843,2,N,THROUGH,WOOD,MEDIUM,S,5
