openml_task_id,openml_interval_start,openml_interval_end,openml_classifier_moa.WEKAClassifier_J48(1),openml_classifier_moa.LeveragingBag_HoeffdingTree(1),openml_classifier_moa.WEKAClassifier_SMO_PolyKernel(1),openml_classifier_moa.kNN(1),openml_classifier_moa.WEKAClassifier_OneR(1),openml_classifier_moa.LeveragingBag_kNN(1),openml_classifier_moa.OzaBoost_HoeffdingTree(1),openml_classifier_moa.HoeffdingTree(1),openml_classifier_moa.SGD(1),openml_classifier_moa.NaiveBayes(1),openml_classifier_moa.WEKAClassifier_REPTree(1),openml_classifier_moa.OzaBag_HoeffdingTree(1),openml_classifier_moa.SPegasos(1),meta_REPTreeDepth2ErrRate,meta_J48.00001.ErrRate,meta_NBErrRate,meta_MeanMutualInformation,meta_NBAUC,meta_DecisionStumpKappa,meta_HoeffdingDDM.warnings,meta_NoiseToSignalRatio,meta_RandomTreeDepth3AUC_K=0,meta_PercentageOfNumericAtts,meta_EquivalentNumberOfAtts,meta_HoeffdingDDM.changes,meta_ClassEntropy,meta_NaiveBayesDdm.changes,meta_NumNominalAtts,meta_REPTreeDepth3AUC,meta_MeanAttributeEntropy,meta_MeanKurtosisOfNumericAtts,meta_REPTreeDepth3Kappa,meta_J48.001.ErrRate,meta_NumNumericAtts,meta_ClassCount,meta_J48.00001.AUC,meta_PercentageOfBinaryAtts,meta_DecisionStumpAUC,meta_RandomTreeDepth1AUC_K=0,meta_REPTreeDepth2Kappa,meta_PositivePercentage,meta_J48.0001.ErrRate,meta_MinNominalAttDistinctValues,meta_RandomTreeDepth2AUC_K=0,meta_MeanMeansOfNumericAtts,meta_J48.0001.kappa,meta_MeanNominalAttDistinctValues,meta_J48.00001.kappa,meta_PercentageOfNominalAtts,meta_REPTreeDepth1Kappa,meta_NegativePercentage,meta_NumBinaryAtts,meta_NaiveBayesDdm.warnings,meta_MaxNominalAttDistinctValues,meta_J48.001.AUC,meta_J48.0001.AUC,meta_NBKappa,meta_REPTreeDepth1AUC,meta_NaiveBayesAdwin.changes,meta_REPTreeDepth3ErrRate,meta_DecisionStumpErrRate,meta_MeanStdDevOfNumericAtts,meta_Dimensionality,meta_REPTreeDepth2AUC,meta_StdvNominalAttDistinctValues,meta_HoeffdingAdwin.changes,meta_MeanSkewnessOfNumericAtts,meta_DefaultAccuracy,meta_REPTreeDepth1ErrRate,meta_J48.001.kappa,meta_NumAttributes,label
170,333000,334000,0.835237,0.86832,0.825551,0.812132,0.397368,0.811955,0.854165,0.855668,0.166799,0.806284,0.821201,0.858254,0.24009,35.7,20.2,21.0,0.412769,0.958283,0.160578,0,1.080692,0.894519,0.0,6.793754,0,2.804252,0,19,0.91926,0.858845,0.0,0.670339,20.2,0,7,0.938452,0.0,0.715232,0.783189,0.582452,0.124,20.2,1,0.860377,0.0,0.764191,2.894737,0.764191,0.95,0.283372,0.153,0,0,3,0.938452,0.938452,0.754619,0.749504,0,28.2,71.3,0.0,0.02,0.877705,0.458831,0,0.0,0.153,61.1,0.764191,20,1
178,784000,785000,0.864367,0.942158,0.884808,0.923375,0.729521,0.92321,0.949028,0.937396,0.865069,0.886962,0.825987,0.940334,0.848874,19.0,25.7,11.3,0.032788,0.952551,0.45276,0,29.44686,0.77104,0.0,30.476504,0,0.999261,0,32,0.85377,0.998289,0.0,0.615311,20.9,0,2,0.778375,0.515152,0.726436,0.707711,0.618044,0.484,24.5,1,0.770012,0.0,0.512713,2.40625,0.489496,0.969697,0.45276,0.516,17,0,8,0.83388,0.799022,0.773928,0.716598,0,19.2,27.7,0.0,0.033,0.851688,1.411002,1,0.0,0.516,27.7,0.582987,33,5
2154,12000,13000,0.83,0.868923,0.823769,0.857077,0.815615,0.856538,0.851385,0.847692,0.573769,0.822769,0.821231,0.861615,0.537692,16.4,16.7,19.0,0.085227,0.89101,0.666866,0,14.098838,0.825544,0.375,11.712261,0,0.998196,0,9,0.870841,1.286822,5.254315,0.68913,15.9,6,2,0.832708,0.25,0.832708,0.666598,0.670782,0.475,16.7,2,0.857404,203.423623,0.666866,4.555556,0.666866,0.5625,0.666866,0.525,4,0,14,0.842055,0.832708,0.615657,0.832708,0,15.5,16.7,905.159027,0.016,0.878438,4.186619,0,1.822708,0.525,16.7,0.681427,16,1
2160,916000,917000,0.71066,0.83119,0.787255,0.745287,0.665865,0.747356,0.827448,0.799258,0.720971,0.755308,0.733709,0.822885,0.77761,31.7,28.9,26.2,-1.0,0.82577,0.410531,0,-1.0,0.779741,0.983607,-1.0,0,0.999859,0,0,0.752604,-1.0,0.724361,0.389556,26.9,60,2,0.736974,0.0,0.69386,0.714804,0.365431,0.493,27.3,-1,0.742714,0.28004,0.453418,-1.0,0.421222,0.0,0.384725,0.507,0,0,-1,0.723656,0.739161,0.476308,0.687449,0,30.5,29.4,0.140182,0.061,0.71612,-1.0,1,0.805019,0.507,30.7,0.460883,61,1
2150,842000,843000,0.492218,0.67858,0.727726,0.674384,0.20453,0.674644,0.714179,0.692773,0.179809,0.689861,0.496744,0.713561,0.155262,72.4,51.9,37.4,-1.0,0.925898,0.100718,0,-1.0,0.745009,0.979167,-1.0,0,3.316905,0,0,0.782974,-1.0,0.275665,0.284454,52.7,47,10,0.764687,0.0,0.653983,0.637533,0.190122,0.09,52.4,-1,0.706299,88.159545,0.41684,-1.0,0.422419,0.0,0.10196,0.12,0,0,-1,0.7429,0.756565,0.583845,0.656228,0,63.9,79.9,39.680853,0.048,0.751854,-1.0,2,0.7412,0.12,79.8,0.413409,48,9
196,290000,291000,0.665275,0.874519,0.487519,0.892254,0.380522,0.892381,0.81255,0.767361,0.166804,0.519732,0.636467,0.814216,0.190158,64.2,34.1,47.4,-1.0,0.792889,-0.003256,0,-1.0,0.710289,0.909091,-1.0,0,2.208719,0,0,0.710444,-1.0,-0.03845,0.219192,33.9,10,5,0.824248,0.0,0.57835,0.583131,0.139349,0.101,34.4,-1,0.651352,0.501657,0.549967,-1.0,0.555281,0.0,-0.003256,0.308,0,0,-1,0.823149,0.822914,0.372969,0.557902,0,57.2,70.0,0.336771,0.011,0.637809,-1.0,0,-0.020094,0.308,70.0,0.55783,11,2
2129,565000,566000,0.919316,0.949996,0.931302,0.921924,0.826525,0.921307,0.94832,0.939793,0.910472,0.905574,0.893161,0.943859,0.764442,15.9,13.4,10.2,0.111636,0.953919,0.567846,0,8.207328,0.894631,0.470588,8.451665,0,0.94351,0,8,0.870628,1.027869,2.923925,0.696381,11.7,8,2,0.855178,0.176471,0.778996,0.732947,0.633032,0.361,11.9,2,0.848864,8.941429,0.732892,2.625,0.690929,0.470588,0.567846,0.639,3,0,3,0.880726,0.883091,0.778914,0.787098,0,13.4,18.4,1.908082,0.017,0.837031,0.517549,0,0.394102,0.639,18.4,0.737053,17,1
2157,38000,39000,0.667846,0.80659,0.777026,0.788103,0.274769,0.788231,0.759051,0.762231,0.180615,0.764256,0.649744,0.763795,0.120231,65.5,34.5,25.1,-1.0,0.946467,0.093669,0,-1.0,0.853369,0.941176,-1.0,0,3.30807,0,0,0.847259,-1.0,-0.657985,0.415873,34.3,16,10,0.853045,0.0,0.698833,0.690669,0.264223,0.08,34.1,-1,0.777623,50.781684,0.619768,-1.0,0.615455,0.0,0.105647,0.127,0,0,-1,0.85259,0.855292,0.720451,0.68521,0,52.6,80.0,29.734296,0.017,0.782386,-1.0,0,-0.022234,0.127,79.0,0.617573,17,1
199,43000,44000,0.853205,0.8905,0.868455,0.870455,0.678614,0.870477,0.879136,0.875205,0.743841,0.881705,0.858023,0.880909,0.768386,18.8,17.5,11.9,-1.0,0.878239,0.345248,0,-1.0,0.855688,0.75,-1.0,0,0.929523,0,0,0.833692,-1.0,-1.236557,0.636096,16.4,3,2,0.800412,0.0,0.704102,0.704102,0.568639,0.345,17.5,-1,0.823604,5.007729,0.60493,-1.0,0.60493,0.0,0.363915,0.655,0,0,-1,0.812917,0.800412,0.727925,0.699307,0,16.3,32.9,2.902811,0.004,0.788045,-1.0,0,-0.020335,0.655,30.7,0.625306,4,1
197,367000,368000,0.220845,0.552481,0.252791,0.839332,0.247226,0.839304,0.001367,0.332924,0.166783,0.293438,0.220274,0.387552,0.206497,59.5,41.1,50.3,-1.0,0.748486,0.083424,7,-1.0,0.74461,0.909091,-1.0,1,2.229767,0,0,0.731964,-1.0,0.036573,0.289725,37.8,10,5,0.789502,0.0,0.612781,0.605571,0.207297,0.104,40.5,-1,0.688195,0.489522,0.472384,-1.0,0.464174,0.0,0.083444,0.282,0,0,-1,0.799641,0.791705,0.347629,0.607072,1,54.9,65.9,0.348296,0.011,0.679599,-1.0,4,-0.060641,0.282,65.9,0.507709,11,10
