history,session,label
0,whoami pwd ls dir vi source <1> source <1> exit,0
1,whereis <1> mkdir <1> vi <1> vi <1> ls source <1>,0
2,elm log,0
3,elm man <1> fg finger <1> | more finger <1> fg,0
4,elm logout,0
5,elm cd <1> ls vi <1> fg exit,0
6,elm logout,0
7,elm exit,0
8,elm log,0
9,cd <1> cd <1> ls vi <1> vi <1> exit,0
10,elm exit,0
11,lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> exit,0
12,elm,0
13,elm exit,0
14,elm cd <1> ls vi <1> fg vi <1> fg cd elm finger <1> finger <1> | more fg finger <1> finger <1> | more finger <1> | more fg finger <1> | more fg,0
15,ls more <1> exit,0
16,elm finger <1> fg finger <1> fg finger <1> fg finger <1> finger <1> finger <1> | more fg finger <1> | more date fg elm ls fg ls emacs <1> ls ls emacs <1> ls cat <1> rm <1> vi <1> vi <1> source <1> fg logout,0
17,cd <1> ls vi <1> exit,0
18,ls cd <1> ls mkdir <1> cd <1> ls vi <1> vi <1> exit,0
19,exit,0
20,ls uptime exit,0
21,ruptime exit,0
22,elm vi <1> more <1> fg finger <1> fg ls cd <1> ls cd <1> ls cd <1> vi <1> ls more <1> ls ls -a cd <1> ls <1> ls -R | grep <1> finger <1> talk <1> fg exit,0
23,whoami ls uptime netscape,0
24,who exit,0
25,elm uptime elm r <1>,0
26,setenv <2> ls more <1> rm <1> ls cd <1> ls cd <1> ls maker ruptime,0
27,elm finger <1> ruptime ruptime | more home fg elm,0
28,elm finger <1> finger <1> fg finger <1> finger <1> finger <1>,0
29,elm logout,0
30,ls cd <1> ls more <1> elm exit,0
31,elm exit,0
32,elm ls cd <1> ls vi <1> ls wc <1> ls wc <1> mv <2> ls rm <1> exit cd fg exit,0
33,ls ls <1> cd <1> ls vi <1> ls mv <2> mv <2> ll <1> cd whereis <1> <GENSYM:0>/vi <1> whereis <1> vi <1> exit,0
34,cd <1> cd <1> ls more <1> ls vi <1> <GENSYM:0>/vi <1> ls rm <1> exit,0
35,elm ls ll <1> fg elm exit,0
36,cd <1> ls vi <1> cls man <1> cls ls vi <1> ls,0
37,write <1> exit,0
38,setenv <2> cd <1> ls maker ls cd <1> ls cd ls cd <1> ls ghostview ls cd <1> ls cd <1> ls man <1> ls lp -dmsl21 -n15 <1> lpq lpq -dmsl21 lpq -Pmsl21 lpq -dmsl21 <1> cancel cancel -dmsl21 -uclin man <1> man <1> cancel -u <2> ghostview cancel -u <2> lpq -P <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> ls cd <1> cd <1> ls <GENSYM:0>/vi <1> ls ls wc <1> cd <1> cd <1> ls wc <1> back back cd <1> ls ghostview exit,0
39,elm log,0
40,cancel -u <2> cancel -u <2> ls cd <1> lp -dmsl21 <1> cancel -u <2> lp -d <2> cancel -u <2> lwifo <1> lwinfo <1> ls lwinfo <1> lwinfo <1> back back cd <1> ls vi <1> ls <GENSYM:0>/vi <1> ls mv <2> ls mv <2> vi <1> <GENSYM:0>/vi <1> source <1> vi <1> more <1> alias <1> source <1> more <1> unalias <1> ls vi <1> ls fbear ls finger <1> finger <1> | more finger <1> | more vi <1> source <1> finger <1> finger <1> ls cp <2> vi <1> cancel -u <2> exit,0
