C1,C2,C3 (en),C3 (es),M1,M2,M3,M4(en),M4(es),M5(en),M5(es),TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11,label
0.9922,0.0078,0.0,0.0,4108,4076,32,0,0,4108,4108,0,0,0,0,0,0,0,0,1,0,0,1
0.7245,0.2972,0.0,0.0364,1430,1036,425,0,52,1430,1430,0,0,0,0,0,0,0,0,1,0,0,1
0.6842,0.2744,0.5388,0.0,798,546,219,430,0,798,798,0,0,0,0,0,0,0,0,1,0,0,1
0.471,0.529,0.0,0.0,811,382,429,0,0,811,811,0,0,0,0,1,0,0,0,1,0,0,1
0.4701,0.1875,0.0,0.0013,768,361,144,0,1,768,768,0,0,0,0,1,0,0,0,1,0,0,1
0.5682,0.4421,0.0,0.0,484,275,214,0,0,484,484,0,0,0,0,0,0,0,0,1,0,0,1
0.9662,0.0338,0.0263,0.0526,266,257,9,7,14,266,266,0,0,1,0,0,1,0,0,1,0,0,0
0.5089,0.495,0.0119,0.4436,505,257,250,6,224,505,505,0,0,1,0,0,1,0,0,1,0,0,0
0.2888,0.7112,0.7126,0.0,696,201,495,496,0,696,696,0,0,0,0,1,0,0,0,1,0,0,0
0.2487,0.0938,0.0,0.0013,768,191,72,0,1,768,768,0,0,0,0,1,0,0,0,1,0,0,1
0.935,0.155,0.16,0.015,200,187,31,32,3,200,200,0,0,1,0,0,0,1,0,1,0,0,0
0.7189,0.2811,0.2442,0.0,217,156,61,53,0,217,217,0,0,0,1,0,1,0,0,1,0,0,0
0.7081,0.2919,0.2823,0.1579,209,148,61,59,33,209,209,0,0,0,1,0,0,0,1,1,0,0,0
0.6603,0.3397,0.3254,0.0,209,138,71,68,0,209,209,0,0,0,1,0,1,0,0,1,0,0,0
