normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,label
'B1of3',mercury,gas,std,four,sedan,rwd,front,'B3of3','B3of3','B3of3','B1of3','B3of3',ohcv,six,'B2of3',2bbl,'B1of3','B1of3','B1of3','B1of3','B2of3','B1of3','B1of3','B1of3',3
'B1of3',honda,diesel,std,four,sedan,fwd,front,'B3of3','B2of3','B2of3','B2of3','B1of3',ohc,five,'B3of3',idi,'B2of3','B3of3','B3of3','B2of3','B1of3','B2of3','B2of3','B1of3',3
'B2of3',toyota,gas,std,two,hatchback,rwd,front,'B1of3','B3of3','B3of3','B3of3','B2of3',ohc,five,'B1of3',spdi,'B2of3','B2of3','B1of3','B1of3','B3of3','B3of3','B1of3','B3of3',4
'B2of3',bmw,gas,std,two,hatchback,4wd,front,'B3of3','B1of3','B3of3','B2of3','B3of3',l,three,'B1of3',4bbl,'B2of3','B2of3','B1of3','B1of3','B3of3','B1of3','B2of3','B3of3',6
'B1of3',alfa-romero,gas,std,two,convertible,rwd,front,'B2of3','B1of3','B1of3','B2of3','B3of3',rotor,five,'B1of3',4bbl,'B1of3','B2of3','B1of3','B1of3','B3of3','B2of3','B3of3','B1of3',6
'B2of3',peugot,gas,std,four,sedan,rwd,front,'B2of3','B3of3','B3of3','B3of3','B2of3',ohc,four,'B1of3',mpfi,'B2of3','B2of3','B1of3','B1of3','B2of3','B1of3','B1of3','B1of3',3
'B1of3',nissan,gas,std,four,sedan,fwd,front,'B1of3','B2of3','B1of3','B2of3','B2of3',ohc,four,'B1of3',2bbl,'B2of3','B2of3','B1of3','B1of3','B2of3','B1of3','B1of3','B1of3',4
'B1of3',subaru,gas,std,four,sedan,rwd,front,'B3of3','B1of3','B3of3','B1of3','B3of3',ohc,four,'B1of3',mpfi,'B2of3','B2of3','B1of3','B1of3','B2of3','B1of3','B2of3','B1of3',0
'B2of3',dodge,gas,turbo,two,convertible,rwd,front,'B3of3','B3of3','B2of3','B3of3','B3of3',ohc,four,'B1of3',mpfi,'B2of3','B3of3','B1of3','B1of3','B3of3','B2of3','B1of3','B1of3',5
'B2of3',jaguar,gas,std,two,hatchback,rwd,front,'B3of3','B3of3','B2of3','B1of3','B2of3',dohc,twelve,'B3of3',mpfi,'B1of3','B2of3','B1of3','B1of3','B2of3','B1of3','B2of3','B1of3',6
'B1of3',mazda,gas,std,four,sedan,fwd,front,'B1of3','B2of3','B1of3','B2of3','B1of3',ohc,four,'B1of3',2bbl,'B2of3','B2of3','B1of3','B1of3','B2of3','B2of3','B2of3','B1of3',4
'B1of3',alfa-romero,gas,std,two,sedan,4wd,front,'B1of3','B2of3','B1of3','B2of3','B1of3',ohc,four,'B1of3',2bbl,'B2of3','B1of3','B1of3','B1of3','B2of3','B3of3','B3of3','B1of3',4
'B1of3',dodge,gas,std,four,sedan,fwd,front,'B1of3','B1of3','B1of3','B1of3','B1of3',ohc,five,'B1of3',2bbl,'B1of3','B2of3','B1of3','B1of3','B2of3','B2of3','B2of3','B1of3',4
'B1of3',saab,gas,std,four,sedan,rwd,front,'B3of3','B3of3','B2of3','B2of3','B3of3',ohcv,eight,'B1of3',mpfi,'B1of3','B1of3','B1of3','B1of3','B2of3','B1of3','B1of3','B3of3',0
'B1of3',toyota,gas,std,four,wagon,rwd,front,'B2of3','B2of3','B2of3','B2of3','B2of3',ohc,four,'B1of3',mpfi,'B2of3','B3of3','B1of3','B1of3','B2of3','B1of3','B2of3','B1of3',0
'B1of3',toyota,gas,turbo,four,sedan,fwd,front,'B1of3','B2of3','B3of3','B1of3','B1of3',ohc,five,'B1of3',mpfi,'B3of3','B3of3','B1of3','B2of3','B3of3','B2of3','B2of3','B2of3',3
'B1of3',dodge,gas,std,four,wagon,fwd,front,'B2of3','B2of3','B2of3','B3of3','B2of3',ohc,four,'B1of3',mpfi,'B3of3','B2of3','B1of3','B1of3','B1of3','B1of3','B2of3','B1of3',0
'B1of3',peugot,gas,std,four,wagon,rwd,front,'B1of3','B3of3','B3of3','B3of3','B2of3',l,four,'B1of3',1bbl,'B2of3','B2of3','B1of3','B1of3','B1of3','B1of3','B1of3','B1of3',3
