median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,label
47700,1.6812,25,1505,367,1392,359,36.06,0
45800,2.5313,30,2943,697,1565,584,35.14,0
500001,3.4801,52,3830,1142,1310,963,37.8,1
218600,5.7376,17,3051,505,1705,495,34.28,0
278000,3.725,34,2351,440,1063,428,36.62,1
158700,4.7147,12,4427,822,2400,843,34.08,0
198200,5.0839,36,1375,242,670,221,33.89,0
157500,3.6908,38,1335,282,1011,269,33.92,0
340000,4.8036,4,2292,605,1050,584,37.39,1
446600,8.1132,45,2332,343,943,339,34.18,0
123200,2.5417,30,473,109,242,93,38.01,1
253900,3.0,35,2248,615,1762,622,34.08,0
215100,2.8594,20,4413,1189,4818,1063,33.76,0
220500,3.3409,18,3620,852,3171,779,34.2,0
219800,5.3668,27,3700,568,1793,552,33.92,0
136200,3.8201,22,6269,1279,5587,1251,34.02,0
178400,3.9063,41,746,145,387,161,37.69,1
187500,4.1346,26,467,93,244,83,37.48,1
139800,3.8233,36,2024,408,1030,390,32.75,0
137500,2.1875,27,1380,270,810,262,37.43,1
425000,4.2297,47,4234,1156,1808,1093,37.45,1
405600,4.3667,50,2519,537,1117,516,34.07,0
138800,5.3478,8,3602,547,1959,580,36.83,1
500001,6.1323,32,4497,730,1846,715,37.59,1
162100,4.2234,16,3217,716,2054,687,32.9,0
51400,1.9602,38,1281,297,1423,293,36.53,0
151300,2.5504,26,3543,1055,2742,951,33.96,0
94800,3.25,38,544,89,240,91,40.55,1
204100,3.65,22,2987,563,1420,540,37.96,1
361500,6.2028,35,2790,447,1167,441,33.72,0
85100,1.6196,38,992,279,732,259,37.75,1
138400,1.23,47,1315,247,785,245,34.03,0
137500,3.4286,5,1824,509,892,426,32.75,0
465000,7.1108,29,1229,192,707,194,37.37,1
271800,3.4919,44,1819,365,1137,354,37.75,1
239400,5.5061,17,10267,1683,4956,1483,34.46,0
340900,4.375,34,707,159,381,156,37.6,1
150400,3.4115,35,2093,407,1755,403,34.03,0
128100,3.0917,48,1127,188,530,186,38.87,1
156000,2.7321,41,756,195,873,212,33.98,0
258100,6.6073,17,5512,765,2734,814,34.29,0
90500,3.7917,24,1302,232,693,243,36.61,0
71300,2.2679,25,421,102,303,106,37.78,1
219700,3.4679,18,3833,1056,2192,996,33.73,0
151000,3.9336,15,3393,653,2039,611,34.04,0
290100,3.0221,28,3386,815,2240,737,34.2,0
142000,3.5096,34,2061,391,1169,400,32.73,0
291500,3.0875,31,3062,596,1263,539,32.77,0
255400,2.7451,42,1731,435,866,403,33.73,0
98100,3.2216,34,4183,702,1891,669,40.86,1
251900,4.5,18,2021,353,912,329,38.46,1
162100,2.6036,29,2559,787,1886,769,34.25,0
129400,3.4286,31,1307,245,752,231,32.84,0
89400,1.5917,28,1401,292,967,257,37.3,1
150500,2.788,42,1670,434,1997,452,34.04,0
133800,5.4337,11,3045,522,1563,516,36.3,0
