col_2,col_3,col_4,label
_East_South_Central,5,1833,0
_Pacific,9,1801,1
_Mountain,8,1712,0
_West_South_Central,6,1673,0
_Pacific,9,1914,1
_Mountain,8,1807,1
_North_East,1,2080,1
_South_Atlantic,3,2028,0
_South_Atlantic,3,2037,0
_South_Atlantic,3,1884,0
_Pacific,9,1889,1
_Mountain,8,1234,1
_East_North_Central,4,1840,1
_East_North_Central,4,1738,0
_West_North_Central,7,1657,1
_West_North_Central,7,1727,1
_East_South_Central,5,1713,0
_West_South_Central,6,1960,0
_North_East,1,1592,1
_South_Atlantic,3,1918,1
_North_East,1,2402,0
_East_North_Central,4,1856,0
_West_North_Central,7,1969,0
_West_North_Central,7,1983,0
_East_South_Central,5,1440,0
_Mountain,8,1440,1
_West_North_Central,7,1754,1
_Mountain,8,1771,1
_North_East,1,1735,1
_Middle_Atlantic,2,1887,1
_Mountain,8,1582,0
_Middle_Atlantic,2,2134,1
_South_Atlantic,3,1631,1
_West_North_Central,7,2083,0
_East_North_Central,4,1859,0
_West_South_Central,6,1553,1
_Pacific,9,1573,1
_Middle_Atlantic,2,2105,0
_North_East,1,1916,1
_South_Atlantic,3,1558,0
_West_North_Central,7,1736,0
_East_South_Central,5,2009,0
_West_South_Central,6,1742,0
_South_Atlantic,3,1722,1
_North_East,1,1454,1
_Mountain,8,1434,0
_Pacific,9,1691,1
_East_North_Central,4,1762,1
_South_Atlantic,3,1832,0
_Mountain,8,1301,1
